pre_gid,post_gid,freq_hz,delay_ms,n_synapses,n_potentiated_initial,n_potentiated_final,n_0to1,n_1to0,initial_rho_array,final_rho_array,initial_rho_bin,final_rho_bin,mean_epsp_before,mean_epsp_after,epsp_ratio
196654,200262,10.0,-50.0,5,1,2,2,1,"[0.0, 0.0, 0.0, 1.0, 0.0]","[0.475882, 0.0, 0.584463, 0.271879, 0.575555]","[0, 0, 0, 1, 0]","[0, 0, 1, 0, 1]",0.632434304346728,1.0667880266907592,1.6991972970538487
196734,181209,10.0,-50.0,6,4,4,2,2,"[1.0, 1.0, 1.0, 1.0, 0.0, 0.0]","[0.405244, 0.626201, 0.555346, 0.496487, 0.594998, 0.56068]","[1, 1, 1, 1, 0, 0]","[0, 1, 1, 0, 1, 1]",1.5052644695180817,1.2472990146746306,0.8344563846400314
196748,180959,10.0,-50.0,5,2,3,2,1,"[1.0, 0.0, 0.0, 0.0, 1.0]","[0.590769, 0.614427, 0.429664, 0.566095, 0.090856]","[1, 0, 0, 0, 1]","[1, 1, 0, 1, 0]",1.2303767965802235,1.5019971540615495,1.2220273843826481
197652,203951,10.0,-50.0,7,5,4,1,2,"[1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0]","[0.861157, 0.0, 0.562319, 0.065347, 0.214803, 0.514839, 0.578766]","[1, 0, 1, 1, 1, 1, 0]","[1, 0, 1, 0, 0, 1, 1]",2.2017434983795585,1.5445119205886926,0.7089593306266488
198242,189050,10.0,-50.0,4,3,0,0,3,"[1.0, 0.0, 1.0, 1.0]","[0.346493, 0.489924, 0.483419, 0.354928]","[1, 0, 1, 1]","[0, 0, 0, 0]",1.1188037279980818,0.1116321963581967,0.10009985817959338
198864,197551,10.0,-50.0,5,1,2,1,0,"[0.0, 1.0, 0.0, 0.0, 0.0]","[0.497622, 0.544884, 0.617939, 0.472946, 0.0]","[0, 1, 0, 0, 0]","[0, 1, 1, 0, 0]",1.4671249801397064,2.564702707000897,1.7568030818293507
198910,188914,10.0,-50.0,10,6,1,0,5,"[0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.173032, 0.527442, 0.301694, 0.345758, 0.016933, 0.043185, 0.0, 0.0]","[0, 0, 1, 1, 1, 1, 1, 1, 0, 0]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",3.240930231353663,0.5672269280299899,0.17662654153839719
199365,195486,10.0,-50.0,4,2,2,1,1,"[1.0, 0.0, 0.0, 1.0]","[0.478639, 0.193399, 0.501657, 0.78828]","[1, 0, 0, 1]","[0, 0, 1, 1]",2.4897397318193075,2.833474101296025,1.1463025188092588
199521,190468,10.0,-50.0,6,3,3,1,1,"[1.0, 0.0, 0.0, 1.0, 0.0, 1.0]","[0.207414, 0.0, 0.531257, 0.592824, 0.447996, 0.625626]","[1, 0, 0, 1, 0, 1]","[0, 0, 1, 1, 0, 1]",1.2854271824029877,1.1558454478004476,0.9059912526195956
199599,194835,10.0,-50.0,9,2,1,1,2,"[1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.363027, 0.195946, 0.0, 0.0, 0.619532, 0.0, 0.0, 0.493198, 0.347983]","[1, 1, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0, 0, 0]",0.912065462936108,0.7975767194020532,0.876925720183281
